release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.108.0-alpha.7,prerelease,2026-03-03T17:01:41-08:00,0.1762,393.0,2230.42,codex-rs/feedback/src/feedback_diagnostics.rs (247); codex-rs/feedback/src/lib.rs (146)
rust-v0.108.0-alpha.10,prerelease,2026-03-03T21:18:45-08:00,0.063,9.0,142.8,codex-rs/shell-escalation/src/unix/escalate_server.rs (9)
rust-v0.108.0-alpha.13,prerelease,2026-03-04T16:20:03-08:00,0.082,1784.0,21763.44,codex-rs/package-manager/src/lib.rs (793); codex-rs/artifacts/src/runtime.rs (522); codex-rs/artifacts/src/client.rs (446); codex-rs/artifacts/src/lib.rs (23)
rust-v0.111.0-alpha.2,prerelease,2026-03-05T13:07:12Z,0.6821,4897.0,7178.88,codex-rs/package-manager/src/lib.rs (806); codex-rs/package-manager/src/tests.rs (700); codex-rs/artifacts/src/runtime.rs (522); codex-rs/artifacts/src/tests.rs (521); codex-rs/package-manager/src/manager.rs (464); codex-rs/shell-escalation/src/unix/escalate_server.rs (458); codex-rs/package-manager/src/archive.rs (270); codex-rs/artifacts/src/runtime/manager.rs (253)
rust-v0.112.0-alpha.4,prerelease,2026-03-05T22:57:40-08:00,0.3567,391.0,1096.1,codex-rs/network-proxy/src/admin.rs (181); codex-rs/network-proxy/src/proxy.rs (84); codex-rs/network-proxy/src/config.rs (68); codex-rs/network-proxy/src/runtime.rs (36); codex-rs/network-proxy/src/state.rs (21); codex-rs/network-proxy/src/lib.rs (1)
rust-v0.112.0-alpha.7,prerelease,2026-03-06T15:11:42-08:00,0.0749,184.0,2457.2,codex-rs/network-proxy/src/runtime.rs (157); codex-rs/network-proxy/src/state.rs (27)
rust-v0.112.0-alpha.8,prerelease,2026-03-06T16:00:54-08:00,0.1663,365.0,2195.1,codex-rs/utils/pty/src/tests.rs (162); codex-rs/utils/pty/src/process.rs (140); codex-rs/utils/pty/src/pty.rs (28); codex-rs/utils/pty/src/pipe.rs (27); codex-rs/utils/pty/src/lib.rs (8)
rust-v0.112.0-alpha.10,prerelease,2026-03-07T11:49:22+01:00,0.1203,286.0,2377.46,codex-rs/network-proxy/src/state.rs (152); codex-rs/network-proxy/src/runtime.rs (130); codex-rs/network-proxy/src/config.rs (4)
rust-v0.115.0-alpha.7,prerelease,2026-03-11T15:45:06-07:00,0.2256,193.0,855.5,scripts/check_blob_size.py (193)
rust-v0.115.0-alpha.16,prerelease,2026-03-12T18:12:09-07:00,0.2841,835.0,2939.0,codex-rs/codex-client/src/custom_ca.rs (788); codex-rs/codex-client/src/bin/custom_ca_probe.rs (29); codex-rs/codex-client/src/lib.rs (11); AGENTS.md (4); codex-rs/backend-client/src/client.rs (3)
rust-v0.115.0-alpha.20,prerelease,2026-03-13T14:40:00-07:00,0.3253,937.0,2880.44,codex-rs/utils/pty/src/tests.rs (389); codex-rs/utils/pty/src/pty.rs (291); codex-rs/shell-escalation/src/unix/escalate_server.rs (131); codex-rs/shell-escalation/src/unix/escalate_client.rs (45); codex-rs/utils/pty/src/process.rs (40); codex-rs/utils/pty/src/pipe.rs (33); codex-rs/codex-client/src/default_client.rs (6); codex-rs/shell-escalation/src/lib.rs (2)
rust-v0.116.0-alpha.6,prerelease,2026-03-17T21:05:23-07:00,0.182,462.0,2539.1,codex-rs/environment/src/fs.rs (332); codex-rs/utils/image/src/lib.rs (112); codex-rs/environment/src/lib.rs (18)
rust-v0.116.0-alpha.8,prerelease,2026-03-18T10:33:09-07:00,0.1065,880.0,8260.66,codex-rs/artifacts/src/tests.rs (462); codex-rs/artifacts/src/runtime/installed.rs (185); codex-rs/artifacts/src/client.rs (166); codex-rs/artifacts/src/runtime/manifest.rs (22); codex-rs/artifacts/src/runtime/js_runtime.rs (16); codex-rs/artifacts/src/runtime/manager.rs (14); codex-rs/artifacts/src/lib.rs (7); codex-rs/artifacts/src/runtime/mod.rs (4)
rust-v0.117.0-alpha.3,prerelease,2026-03-19T20:13:12-07:00,0.0578,228.0,3944.1,codex-rs/{core/src/features.rs => features/src/lib.rs} (126); codex-rs/{core/src/features_tests.rs => features/src/tests.rs} (86); codex-rs/{core/src/features => features/src}/legacy.rs (8); codex-rs/{core => login}/src/token_data.rs (8)
rust-v0.117.0-alpha.6,prerelease,2026-03-20T15:31:11-07:00,0.0504,167.0,3313.2,scripts/test-remote-env.sh (78); codex-rs/v8-poc/src/lib.rs (65); codex-rs/features/src/lib.rs (22); codex-rs/v8-poc/.gitignore (2)
rust-v0.117.0-alpha.15,prerelease,2026-03-24T19:45:36-07:00,0.1393,589.0,4228.2,codex-rs/utils/string/src/truncate.rs (156); codex-rs/utils/output-truncation/src/lib.rs (142); codex-rs/utils/string/src/truncate/tests.rs (71); codex-rs/{core/src/rollout => rollout/src}/recorder.rs (49); codex-rs/{core/src/rollout => rollout/src}/metadata.rs (47); codex-rs/{core => rollout}/src/state_db.rs (33); codex-rs/{core/src/rollout/mod.rs => rollout/src/lib.rs} (32); codex-rs/{core/src/rollout => rollout/src}/tests.rs (24)
rust-v0.117.0-alpha.16,prerelease,2026-03-24T21:54:49-07:00,0.425,32.0,75.3,codex-rs/features/src/lib.rs (20); codex-rs/features/src/tests.rs (12)
rust-v0.117.0-alpha.18,prerelease,2026-03-25T12:27:19-07:00,0.1471,809.0,5501.22,codex-rs/utils/template/src/lib.rs (442); codex-rs/{core => analytics}/src/analytics_client.rs (239); codex-rs/instructions/src/fragment.rs (61); codex-rs/utils/absolute-path/src/lib.rs (25); codex-rs/{core/src/instructions => instructions/src}/user_instructions.rs (15); codex-rs/instructions/src/lib.rs (11); codex-rs/features/src/tests.rs (8); codex-rs/features/src/lib.rs (8)
rust-v0.117.0-alpha.21,prerelease,2026-03-25T21:36:42-07:00,0.0799,63.0,788.84,codex-rs/utils/absolute-path/src/lib.rs (47); codex-rs/features/src/tests.rs (8); codex-rs/features/src/lib.rs (8)
rust-v0.117.0-alpha.22,prerelease,2026-03-26T00:06:40-07:00,0.113,71.0,628.1,codex-rs/arg0/src/lib.rs (71)
rust-v0.117.0-alpha.23,prerelease,2026-03-26T17:17:45+01:00,0.2567,1487.0,5791.9,codex-rs/artifacts/src/tests.rs (453); codex-rs/artifacts/src/runtime/installed.rs (283); codex-rs/artifacts/src/runtime/manager.rs (255); codex-rs/artifacts/src/client.rs (229); codex-rs/artifacts/src/runtime/js_runtime.rs (171); codex-rs/artifacts/src/runtime/mod.rs (28); codex-rs/artifacts/src/runtime/error.rs (28); codex-rs/artifacts/src/lib.rs (24)
rust-v0.117.0-alpha.24,prerelease,2026-03-26T11:52:05-07:00,0.1244,311.0,2500.84,codex-rs/test-macros/src/lib.rs (155); codex-rs/shell-command/src/command_safety/windows_safe_commands.rs (72); codex-rs/shell-command/src/command_safety/is_safe_command.rs (53); codex-rs/shell-command/src/command_safety/is_dangerous_command.rs (23); codex-rs/features/src/lib.rs (8)
rust-v0.118.0-alpha.1,prerelease,2026-03-27T08:46:50-07:00,0.2243,2858.0,12742.36,codex-rs/package-manager/src/tests.rs (700); codex-rs/package-manager/src/manager.rs (464); codex-rs/network-proxy/src/runtime.rs (386); codex-rs/network-proxy/src/config.rs (301); codex-rs/package-manager/src/archive.rs (270); codex-rs/network-proxy/src/proxy.rs (227); codex-rs/network-proxy/src/state.rs (90); codex-rs/package-manager/src/package.rs (69)
rust-v0.119.0-alpha.7,prerelease,2026-04-02T23:17:26-07:00,0.3115,622.0,1996.9,codex-rs/{core => protocol}/src/error.rs (197); codex-rs/feedback/src/lib.rs (123); codex-rs/{core => codex-api}/src/api_bridge.rs (70); codex-rs/{core/src/models_manager => models-manager/src}/manager.rs (59); codex-rs/{core/src/text_encoding.rs => protocol/src/exec_output.rs} (52); codex-rs/{core/src/model_provider_info.rs => model-provider-info/src/lib.rs} (39); codex-rs/models-manager/src/lib.rs (30); codex-rs/{core/src/response_debug_context.rs => response-debug-context/src/lib.rs} (20)
rust-v0.119.0-alpha.9,prerelease,2026-04-03T18:30:48-07:00,0.0529,207.0,3910.52,codex-rs/feedback/src/feedback_diagnostics.rs (110); codex-rs/process-hardening/src/lib.rs (39); scripts/list-bazel-clippy-targets.sh (20); codex-rs/ollama/src/client.rs (11); codex-rs/feedback/src/lib.rs (7); codex-rs/models-manager/src/manager.rs (6); codex-rs/models-manager/src/lib.rs (6); codex-rs/utils/oss/src/lib.rs (4)
rust-v0.119.0-alpha.11,prerelease,2026-04-03T23:08:47-07:00,0.4424,407.0,919.9,codex-rs/responses-api-proxy/src/dump.rs (360); codex-rs/responses-api-proxy/src/lib.rs (46); .bazelrc (1)
rust-v0.119.0-alpha.16,prerelease,2026-04-07T12:43:27-07:00,0.0755,324.0,4292.8,codex-rs/utils/absolute-path/src/absolutize.rs (167); codex-rs/utils/absolute-path/src/lib.rs (42); codex-rs/codex-backend-openapi-models/src/models/mod.rs (24); codex-rs/shell-escalation/src/unix/mod.rs (15); codex-rs/feedback/src/lib.rs (9); codex-rs/features/src/lib.rs (8); codex-rs/utils/path-utils/src/lib.rs (6); codex-rs/shell-command/src/powershell.rs (6)
rust-v0.119.0-alpha.18,prerelease,2026-04-07T17:10:03-07:00,0.0795,129.0,1621.8,codex-rs/codex-client/src/transport.rs (104); codex-rs/codex-client/src/request.rs (24); codex-rs/codex-client/src/lib.rs (1)
rust-v0.119.0-alpha.19,prerelease,2026-04-07T21:00:07-07:00,0.214,281.0,1313.3,scripts/start-codex-exec.sh (182); codex-rs/network-proxy/src/proxy.rs (84); codex-rs/network-proxy/src/runtime.rs (11); codex-rs/models-manager/models.json (3); codex-rs/models-manager/src/model_info.rs (1)
rust-v0.119.0-alpha.21,prerelease,2026-04-08T10:51:55-07:00,0.2214,317.0,1432.12,codex-rs/realtime-webrtc/src/native.rs (227); codex-rs/realtime-webrtc/src/lib.rs (90)
rust-v0.119.0-alpha.23,prerelease,2026-04-08T14:08:04-07:00,0.0726,11.0,151.6,scripts/start-codex-exec.sh (11)
rust-v0.119.0-alpha.31,prerelease,2026-04-10T09:13:19-07:00,0.0607,443.0,7296.6,codex-rs/backend-client/src/types.rs (177); codex-rs/backend-client/src/client.rs (143); codex-rs/account/src/lib.rs (121); codex-rs/backend-client/src/lib.rs (2)
rust-v0.119.0,stable,2026-04-10T13:45:24-07:00,0.0543,443.0,8151.8,codex-rs/backend-client/src/types.rs (177); codex-rs/backend-client/src/client.rs (143); codex-rs/account/src/lib.rs (121); codex-rs/backend-client/src/lib.rs (2)
rust-v0.120.0-alpha.2,prerelease,2026-04-10T17:24:36-07:00,0.1922,117.0,608.6,codex-rs/utils/absolute-path/src/lib.rs (117)
rust-v0.121.0-alpha.2,prerelease,2026-04-11T13:52:44-07:00,0.3084,694.0,2250.0,codex-rs/feedback/src/lib.rs (189); .devcontainer/init-firewall.sh (170); .devcontainer/post_install.py (113); .devcontainer/devcontainer.secure.json (76); .devcontainer/Dockerfile.secure (71); .devcontainer/post-start.sh (36); codex-rs/features/src/tests.rs (18); codex-rs/utils/path-utils/src/lib.rs (13)
rust-v0.121.0-alpha.8,prerelease,2026-04-14T15:17:21+01:00,0.104,8.0,76.9,codex-rs/features/src/lib.rs (8)
rust-v0.121.0-alpha.12,prerelease,2026-04-14T22:07:30-07:00,0.0578,50.0,865.2,scripts/test-remote-env.sh (50)
rust-v0.122.0-alpha.9,prerelease,2026-04-17T15:39:39-07:00,0.0647,192.0,2966.4,codex-rs/backend-client/src/client.rs (100); codex-rs/codex-backend-openapi-models/src/models/rate_limit_status_payload.rs (33); codex-rs/utils/readiness/src/lib.rs (29); codex-rs/shell-escalation/src/unix/escalate_server.rs (20); codex-rs/utils/pty/src/pipe.rs (7); codex-rs/codex-backend-openapi-models/src/models/mod.rs (2); codex-rs/backend-client/src/types.rs (1)
rust-v0.123.0-alpha.1,prerelease,2026-04-20T11:47:18-07:00,0.0901,730.0,8105.96,codex-rs/models-manager/models.json (660); codex-rs/backend-client/src/client.rs (24); codex-rs/models-manager/src/manager.rs (23); codex-rs/chatgpt/src/chatgpt_client.rs (23)
rust-v0.123.0-alpha.2,prerelease,2026-04-20T16:48:25-07:00,0.0595,769.0,12930.96,codex-rs/uds/src/lib.rs (331); codex-rs/network-proxy/src/proxy.rs (179); codex-rs/utils/cli/src/shared_options.rs (174); codex-rs/stdio-to-uds/src/lib.rs (72); codex-rs/network-proxy/src/lib.rs (6); codex-rs/stdio-to-uds/src/main.rs (5); codex-rs/utils/cli/src/lib.rs (2)
rust-v0.123.0-alpha.5,prerelease,2026-04-20T23:13:39-07:00,0.0751,135.0,1798.7,codex-rs/instructions/src/fragment.rs (61); codex-rs/instructions/src/user_instructions.rs (56); codex-rs/instructions/src/lib.rs (11); codex-rs/clippy.toml (5); .bazelrc (2)
rust-v0.125.0-alpha.1,prerelease,2026-04-24T12:16:07+02:00,0.0779,1727.0,22160.94,codex-rs/models-manager/src/manager.rs (644); codex-rs/model-provider/src/provider.rs (380); codex-rs/model-provider/src/models_endpoint.rs (247); codex-rs/model-provider/src/amazon_bedrock/catalog.rs (143); codex-rs/models-manager/models.json (97); codex-rs/backend-client/src/client.rs (51); codex-rs/model-provider/src/amazon_bedrock/mod.rs (46); codex-rs/chatgpt/src/chatgpt_token.rs (36)
rust-v0.126.0-alpha.7,prerelease,2026-04-27T15:09:15+01:00,0.3436,279.0,811.9,codex-rs/memories/write/src/lib.rs (63); codex-rs/{core/src/memories => memories/write/src}/prompts.rs (57); codex-rs/memories/read/src/usage.rs (57); codex-rs/memories/read/src/prompts.rs (56); codex-rs/memories/read/src/lib.rs (19); codex-rs/{core/src/memories => memories/write/src}/storage.rs (14); codex-rs/{core/src/memories => memories/write/src}/workspace.rs (13); codex-rs/{core/src/memories => memories/write/src}/control.rs (0)
rust-v0.126.0-alpha.9,prerelease,2026-04-28T12:04:33+01:00,0.1124,1706.0,15178.6,codex-rs/memories/write/src/phase1.rs (803); codex-rs/{core/src/memories => memories/write/src}/phase2.rs (387); codex-rs/memories/write/src/runtime.rs (293); codex-rs/memories/write/src/control.rs (72); codex-rs/memories/write/src/start.rs (55); codex-rs/features/src/tests.rs (34); codex-rs/features/src/lib.rs (24); codex-rs/{exec-server/src/file_system.rs => file-system/src/lib.rs} (18)
rust-v0.126.0-alpha.10,prerelease,2026-04-28T16:17:46+01:00,0.1756,109.0,620.8,codex-rs/memories/write/src/guard.rs (70); codex-rs/memories/write/src/start.rs (18); codex-rs/memories/write/templates/memories/consolidation.md (11); codex-rs/memories/write/src/phase2.rs (3); codex-rs/memories/write/src/storage.rs (2); codex-rs/memories/read/src/usage.rs (2); codex-rs/memories/write/src/lib.rs (1); codex-rs/memories/read/src/metrics.rs (1)
rust-v0.126.0-alpha.12,prerelease,2026-04-28T17:03:23-07:00,0.1142,166.0,1453.9,codex-rs/network-proxy/src/runtime.rs (83); codex-rs/shell-command/src/command_safety/is_safe_command.rs (36); codex-rs/network-proxy/src/proxy.rs (21); codex-rs/shell-command/src/command_safety/is_dangerous_command.rs (13); codex-rs/model-provider/src/provider.rs (8); codex-rs/network-proxy/src/http_proxy.rs (5)
rust-v0.126.0-alpha.16,prerelease,2026-04-29T13:49:25-07:00,0.08,429.0,5361.06,codex-rs/thread-manager-sample/src/main.rs (321); codex-rs/utils/pty/src/tests.rs (45); codex-rs/feedback/src/lib.rs (37); codex-rs/utils/pty/src/process.rs (22); codex-rs/memories/write/templates/memories/consolidation.md (2); codex-rs/memories/write/src/runtime.rs (2)
rust-v0.126.0,stable,2026-04-29T14:45:42-07:00,0.08,429.0,5361.06,codex-rs/thread-manager-sample/src/main.rs (321); codex-rs/utils/pty/src/tests.rs (45); codex-rs/feedback/src/lib.rs (37); codex-rs/utils/pty/src/process.rs (22); codex-rs/memories/write/templates/memories/consolidation.md (2); codex-rs/memories/write/src/runtime.rs (2)
rust-v0.130.0-alpha.7,prerelease,2026-05-08T17:19:29+02:00,0.1861,35.0,188.04,codex-rs/models-manager/models.json (27); codex-rs/features/src/lib.rs (4); codex-rs/memories/write/src/runtime.rs (2); codex-rs/features/src/tests.rs (2)
rust-v0.131.0-alpha.13,prerelease,2026-05-13T10:36:44-07:00,0.0999,1283.0,12841.66,codex-rs/ext/memories/src/local/search.rs (336); codex-rs/ext/memories/src/tests.rs (311); codex-rs/ext/memories/src/backend.rs (158); codex-rs/ext/memories/src/local.rs (119); codex-rs/ext/memories/src/local/read.rs (90); codex-rs/ext/memories/src/local/list.rs (83); codex-rs/ext/memories/src/local/path.rs (56); codex-rs/ext/memories/src/schema.rs (42)
rust-v0.133.0-alpha.3,prerelease,2026-05-20T14:55:00-07:00,0.0704,343.0,4871.3,codex-rs/network-proxy/src/socks5.rs (107); codex-rs/network-proxy/src/mitm.rs (94); codex-rs/network-proxy/src/http_proxy.rs (66); codex-rs/network-proxy/src/runtime.rs (38); codex-rs/network-proxy/src/state.rs (17); codex-rs/network-proxy/src/config.rs (11); codex-rs/network-proxy/src/lib.rs (6); codex-rs/network-proxy/src/responses.rs (3)
