release,previous_release,release_date,previous_release_date,release_kind,commit,previous_commit,commits,files_changed,raw_insertions,raw_deletions,raw_churn,weighted_churn_points,generated_raw_churn,generated_weighted_churn_points,dominant_change_type,top_paths
rust-v0.29.0,rust-v0.28.0,2025-09-03T01:20:02-07:00,2025-09-02T15:08:53-07:00,stable-rollup,4d64d27b8907bf7934b6fbccc170dd2e3f42986b,210d0e7de3212a0e3e9d2e9ef6d7b0d1819795d5,20,79,3585,1615,5200,4893.7,27,5.4,Build / Release,codex-rs/core/src/auth.rs (766); codex-rs/login/src/lib.rs (706); codex-rs/core/src/rollout/tests.rs (384); codex-rs/apply-patch/src/lib.rs (353); codex-rs/core/tests/chat_completions_payload.rs (345)
rust-v0.30.0,rust-v0.29.0,2025-09-05T14:55:50-07:00,2025-09-03T01:20:02-07:00,stable-rollup,755f40d1debbe998d78ac382e834efdbe3ba1688,4d64d27b8907bf7934b6fbccc170dd2e3f42986b,43,109,5181,2113,7294,6292.7,130,20.3,Feature,codex-rs/tui/tests/fixtures/binary-size-log.jsonl (1554); codex-rs/tui/src/wrapping.rs (545); codex-rs/tui/src/resume_picker.rs (504); codex-rs/tui/src/history_cell.rs (475); codex-rs/mcp-server/src/codex_message_processor.rs (327)
rust-v0.31.0,rust-v0.30.0,2025-09-08T14:20:14-07:00,2025-09-05T14:55:50-07:00,stable-rollup,d523beb8cda758bb1bebf42b52dcd44b2e3fd592,755f40d1debbe998d78ac382e834efdbe3ba1688,22,49,1044,480,1524,1434.7,85,17.0,Build / Release,codex-rs/scripts/create_github_release (296); codex-rs/tui/src/chatwidget.rs (110); codex-rs/protocol/src/protocol.rs (99); codex-rs/core/src/mcp_connection_manager.rs (88); codex-rs/Cargo.lock (85)
rust-v0.32.0,rust-v0.31.0,2025-09-10T10:12:55-07:00,2025-09-08T14:20:14-07:00,stable-rollup,2e2bf097773766785d52bf51de3fd207a60785d0,d523beb8cda758bb1bebf42b52dcd44b2e3fd592,21,82,2370,1495,3865,3176.3,694,138.8,Feature,codex-rs/Cargo.lock (694); codex-rs/core/src/shell.rs (421); codex-rs/mcp-server/src/codex_message_processor.rs (335); codex-rs/core/src/codex.rs (314); codex-rs/core/src/rollout/recorder.rs (256)
rust-v0.33.0,rust-v0.32.0,2025-09-10T12:41:15-07:00,2025-09-10T10:12:55-07:00,stable-rollup,4d365d506c873e19fe972a0bf77b91e2b8561acf,2e2bf097773766785d52bf51de3fd207a60785d0,9,36,2666,1530,4196,3667.3,269,49.0,Docs / Tests,codex-rs/tui/src/markdown_render_tests.rs (995); codex-rs/tui/src/markdown_render.rs (566); codex-rs/tui/src/markdown_stream.rs (502); codex-rs/tui/src/markdown.rs (461); codex-rs/core/src/shell.rs (421)
rust-v0.34.0,rust-v0.33.0,2025-09-10T14:15:41-07:00,2025-09-10T12:41:15-07:00,stable-rollup,544bae2e09f76547545748bfabbe8b9eb99ee131,4d365d506c873e19fe972a0bf77b91e2b8561acf,3,7,625,10,635,635.0,0,0.0,Build / Release,codex-rs/core/src/config_edit.rs (582); codex-rs/core/src/codex.rs (26); codex-rs/core/src/config.rs (19); codex-rs/mcp-types/src/lib.rs (3); codex-rs/mcp-server/src/message_processor.rs (2)
rust-v0.35.0,rust-v0.34.0,2025-09-15T08:52:25-07:00,2025-09-10T14:15:41-07:00,stable-rollup,385bed585ea47bf5a99279260d3481a8ff148e49,544bae2e09f76547545748bfabbe8b9eb99ee131,94,527,17252,2135,19387,13238.12,6340,1262.72,Feature,codex-rs/core/src/codex.rs (1020); codex-rs/core/tests/suite/compact_resume_fork.rs (838); codex-rs/core/tests/suite/compact.rs (704); codex-rs/core/src/unified_exec/mod.rs (643); codex-rs/core/src/config.rs (604)
rust-v0.36.0,rust-v0.35.0,2025-09-15T10:04:50-07:00,2025-09-15T08:52:25-07:00,stable-rollup,f88d8b88169d3a2bd5f36a734dde7a49fdfdc351,385bed585ea47bf5a99279260d3481a8ff148e49,2,2,2,2,4,4.0,0,0.0,Build / Release,codex-rs/tui/src/onboarding/welcome.rs (2); codex-rs/Cargo.toml (2)
rust-v0.37.0,rust-v0.36.0,2025-09-17T10:48:22-07:00,2025-09-15T10:04:50-07:00,stable-rollup,69e4d807e9ececb4fff2b996e7cf31847c852d41,f88d8b88169d3a2bd5f36a734dde7a49fdfdc351,18,37,1325,332,1657,1512.04,33,6.24,Build / Release,codex-rs/tui/src/bottom_pane/selection_popup_common.rs (282); codex-rs/core/tests/suite/prompt_caching.rs (277); scripts/publish_to_npm.py (118); codex-rs/core/tests/suite/review.rs (117); codex-rs/tui/src/history_cell.rs (116)
rust-v0.38.0,rust-v0.37.0,2025-09-17T11:05:35-07:00,2025-09-17T10:48:22-07:00,stable-rollup,8a7fdad757c4e5484d4024365b982097ebf34675,69e4d807e9ececb4fff2b996e7cf31847c852d41,2,2,2,1,3,3.0,0,0.0,Build / Release,codex-rs/Cargo.toml (2); .github/workflows/rust-release.yml (1)
rust-v0.39.0,rust-v0.38.0,2025-09-18T14:37:30-07:00,2025-09-17T11:05:35-07:00,stable-rollup,8009a54757f9f4ff9160fe5b00c09e187f8a1fee,8a7fdad757c4e5484d4024365b982097ebf34675,15,54,1425,717,2142,2070.26,5,0.76,Feature,codex-rs/tui/src/pager_overlay.rs (302); codex-rs/tui/src/app_backtrack.rs (269); codex-rs/core/src/codex.rs (181); codex-rs/tui/src/backtrack_helpers.rs (153); codex-rs/tui/src/chatwidget.rs (138)
