release,previous_release,release_date,previous_release_date,release_kind,commit,previous_commit,commits,files_changed,raw_insertions,raw_deletions,raw_churn,weighted_churn_points,generated_raw_churn,generated_weighted_churn_points,dominant_change_type,top_paths
rust-v0.70.0,rust-v0.69.0,2025-12-11T09:43:39-08:00,2025-12-10T14:01:08-08:00,stable-rollup,b55fb80f4d3d67dcea6f8ca8603a35bfaafc6640,c1c0f8c1ba892744dfa3f0683089fafadcba9fcb,18,797,56776,439,57215,38282.24,10067,1787.74,Docs / Tests,codex-rs/tui2/src/bottom_pane/chat_composer.rs (3990); codex-rs/tui2/src/chatwidget.rs (3463); codex-rs/tui2/src/chatwidget/tests.rs (3329); codex-rs/tui2/src/history_cell.rs (2435); codex-rs/tui2/src/bottom_pane/textarea.rs (2015)
rust-v0.71.0,rust-v0.70.0,2025-12-11T09:50:53-08:00,2025-12-11T09:43:39-08:00,stable-rollup,fbaa49ff313987f0de66cf3f5e065a7b5d0dfe57,b55fb80f4d3d67dcea6f8ca8603a35bfaafc6640,2,6,14,25,39,36.42,3,0.42,Build / Release,codex-rs/tui/src/chatwidget.rs (27); codex-rs/tui/src/status_indicator_widget.rs (5); codex-rs/tui/src/chatwidget/snapshots/codex_tui__chatwidget__tests__chatwidget_markdown_code_blocks_vt100_snapshot.snap (3); codex-rs/Cargo.toml (2); codex-rs/tui/src/chatwidget/tests.rs (1)
rust-v0.72.0,rust-v0.71.0,2025-12-12T16:54:04-08:00,2025-12-11T09:50:53-08:00,stable-rollup,63d42e7ad9c83d234a31ffcd96d7b08b2673d29a,fbaa49ff313987f0de66cf3f5e065a7b5d0dfe57,35,122,4829,3148,7977,7774.04,104,16.54,Feature,codex-rs/app-server/src/config_api.rs (1096); codex-rs/core/src/config/service.rs (935); codex-rs/windows-sandbox-rs/src/elevated_impl.rs (588); codex-rs/scripts/create_github_release (411); codex-rs/core/src/command_safety/windows_safe_commands.rs (398)
rust-v0.73.0,rust-v0.72.0,2025-12-15T14:08:17-08:00,2025-12-12T16:54:04-08:00,stable-rollup,8781ee7b5045e4288939b2f927bf0fac8953f9f7,63d42e7ad9c83d234a31ffcd96d7b08b2673d29a,25,144,12413,1230,13643,5837.86,504,96.36,Build / Release,codex-rs/tui2/tests/fixtures/oss-story.jsonl (8041); codex-rs/utils/git/src/ghost_commits.rs (697); codex-rs/otel/src/otel_provider.rs (433); codex-rs/Cargo.lock (430); codex-rs/tui2/src/model_migration.rs (319)
rust-v0.74.0,rust-v0.73.0,2025-12-18T09:40:25-08:00,2025-12-15T14:08:17-08:00,stable-rollup,7dae4bb9ce2980dc716cc86f33f3500b52fa372c,8781ee7b5045e4288939b2f927bf0fac8953f9f7,76,219,12637,3272,15909,15127.34,143,21.94,Feature,codex-rs/tui2/src/app.rs (1073); codex-rs/apply-patch/src/invocation.rs (813); codex-rs/apply-patch/src/lib.rs (715); codex-rs/core/tests/common/streaming_sse.rs (680); codex-rs/tui2/docs/tui_viewport_and_history.md (553)
rust-v0.75.0,rust-v0.74.0,2025-12-18T11:00:49-08:00,2025-12-18T09:40:25-08:00,stable-rollup,b4faed2031edf33a33ca2d7c66642b6d7c166692,7dae4bb9ce2980dc716cc86f33f3500b52fa372c,4,25,856,333,1189,1159.26,14,1.96,Build / Release,codex-rs/core/src/config_loader/mod.rs (203); codex-rs/core/src/config_loader/state.rs (155); codex-rs/core/src/config/service.rs (155); codex-rs/cloud-tasks/src/lib.rs (143); codex-rs/core/src/config/mod.rs (114)
rust-v0.76.0,rust-v0.75.0,2025-12-19T10:27:19-08:00,2025-12-18T11:00:49-08:00,stable-rollup,395587c1ba89662a869b96e2fe811d149d6981fe,b4faed2031edf33a33ca2d7c66642b6d7c166692,30,138,5594,1639,7233,6996.62,221,34.12,Feature,codex-rs/core/src/terminal.rs (1186); codex-rs/tui/src/chatwidget/tests.rs (715); codex-rs/tui2/src/chatwidget/tests.rs (558); codex-rs/core/src/skills/assets/samples/skill-installer/scripts/install-skill-from-github.py (308); codex-rs/tui/src/history_cell.rs (295)
rust-v0.77.0,rust-v0.76.0,2025-12-20T21:06:39-08:00,2025-12-19T10:27:19-08:00,stable-rollup,83633da9aadf9f741d06d7adb2d4267af7788967,395587c1ba89662a869b96e2fe811d149d6981fe,15,86,3052,1049,4101,4059.2,2,0.4,Build / Release,codex-rs/tui2/src/tui/scrolling/mouse.rs (1105); codex-rs/tui2/docs/scroll_input_model.md (610); codex-rs/core/models.json (212); codex-rs/core/src/config/mod.rs (211); codex-rs/core/src/skills/assets/samples/plan/LICENSE.txt (202)
rust-v0.78.0,rust-v0.77.0,2026-01-06T10:16:58-08:00,2025-12-20T21:06:39-08:00,stable-rollup,04b21ce8545b03f097adba83d99690c8446667f1,83633da9aadf9f741d06d7adb2d4267af7788967,84,255,14008,5258,19266,18392.02,430,83.72,Build / Release,codex-rs/tui2/src/transcript_multi_click.rs (1221); docs/config.md (1061); codex-rs/tui2/src/transcript_view_cache.rs (1033); codex-rs/tui2/src/app.rs (893); codex-rs/tui2/src/transcript_copy.rs (801)
rust-v0.79.0,rust-v0.78.0,2026-01-06T16:25:37-08:00,2026-01-06T10:16:58-08:00,stable-rollup,617573e14d9d846d1b56e6253019cb8e1d693724,04b21ce8545b03f097adba83d99690c8446667f1,25,102,4884,1027,5911,5690.48,52,7.28,Build / Release,codex-rs/core/src/skills/loader.rs (547); codex-rs/core/src/codex.rs (313); codex-rs/core/src/conversation_manager.rs (305); codex-rs/tui2/src/history_cell.rs (287); codex-rs/tui2/src/markdown_stream.rs (273)
rust-v0.80.0,rust-v0.79.0,2026-01-09T11:17:48-08:00,2026-01-06T16:25:37-08:00,stable-rollup,c5435a4331ea7a374b633877fc1bdeae1162dd0a,617573e14d9d846d1b56e6253019cb8e1d693724,73,306,13993,4825,18818,17138.42,294,46.92,Feature,codex-rs/app-server/src/codex_message_processor.rs (900); codex-rs/core/src/auth.rs (598); codex-rs/core/src/models_manager/model_family.rs (557); codex-rs/tui/src/chatwidget.rs (534); codex-rs/core/tests/suite/auth_refresh.rs (463)
rust-v0.81.0,rust-v0.80.0,2026-01-14T09:42:55-08:00,2026-01-09T11:17:48-08:00,stable-rollup,28a89be593c402353623fbebfdc806331eb2ddac,c5435a4331ea7a374b633877fc1bdeae1162dd0a,99,382,22135,4761,26896,24001.28,1476,279.18,Feature,codex-rs/core/config.schema.json (1450); codex-rs/tui2/src/bottom_pane/chat_composer.rs (1365); codex-rs/tui/src/bottom_pane/chat_composer.rs (1363); MODULE.bazel.lock (1101); codex-rs/core/src/parse_command.rs (1027)
rust-v0.82.0,rust-v0.81.0,2026-01-14T15:42:33-08:00,2026-01-14T09:42:55-08:00,stable-rollup,4f0d3ed9a2878f699c9806bc089b32dd0871a33a,28a89be593c402353623fbebfdc806331eb2ddac,16,84,3455,834,4289,4189.32,10,1.52,Feature,codex-rs/tui/src/chatwidget.rs (327); codex-rs/tui2/src/chatwidget.rs (325); codex-rs/utils/pty/src/lib.rs (288); codex-rs/core/src/tools/handlers/collab.rs (275); codex-rs/utils/pty/src/tests.rs (242)
rust-v0.83.0,rust-v0.82.0,2026-01-14T16:23:09-08:00,2026-01-14T15:42:33-08:00,stable-rollup,5d8a1f368f5ebd24b7a7944af460b934fb54b7ab,4f0d3ed9a2878f699c9806bc089b32dd0871a33a,2,2,2,3,5,5.0,0,0.0,Docs / Tests,codex-rs/codex-api/src/sse/responses.rs (3); codex-rs/Cargo.toml (2)
rust-v0.84.0,rust-v0.83.0,2026-01-14T16:57:31-08:00,2026-01-14T16:23:09-08:00,stable-rollup,276a618393932b45ffb5290d038d143af7796c25,5d8a1f368f5ebd24b7a7944af460b934fb54b7ab,3,64,485,43,528,454.2,0,0.0,Build / Release,codex-rs/protocol/src/protocol.rs (53); codex-rs/app-server-protocol/src/protocol/v2.rs (52); codex-rs/protocol/src/user_input.rs (39); codex-rs/core/tests/suite/client.rs (37); codex-rs/app-server-protocol/src/protocol/thread_history.rs (34)
rust-v0.85.0,rust-v0.84.0,2026-01-15T18:04:43Z,2026-01-14T16:57:31-08:00,stable-rollup,980a4c6454a98e5e94edb77f1fb86ca29c6967da,276a618393932b45ffb5290d038d143af7796c25,11,40,1417,397,1814,1746.9,1,0.2,Feature,codex-rs/linux-sandbox/tests/suite/landlock.rs (209); codex-rs/app-server/src/bespoke_event_handling.rs (175); codex-rs/exec/src/lib.rs (165); codex-rs/tui2/src/collab.rs (142); codex-rs/tui/src/collab.rs (142)
rust-v0.86.0,rust-v0.85.0,2026-01-15T16:46:07-08:00,2026-01-15T18:04:43Z,stable-rollup,ae9a0b5c4e21e48f6c45efe370659304de9009e0,980a4c6454a98e5e94edb77f1fb86ca29c6967da,9,26,768,174,942,919.2,0,0.0,Feature,codex-rs/core/src/skills/loader.rs (424); codex-rs/tui/src/chatwidget.rs (83); codex-rs/core/tests/responses_headers.rs (63); codex-rs/core/src/tools/spec.rs (60); codex-rs/app-server-protocol/src/protocol/v2.rs (39)
rust-v0.87.0,rust-v0.86.0,2026-01-16T16:04:06+01:00,2026-01-15T16:46:07-08:00,stable-rollup,f2c2a07a097217b88187ad2e14c8ae05294d78a2,ae9a0b5c4e21e48f6c45efe370659304de9009e0,13,50,1225,285,1510,1435.9,0,0.0,Feature,codex-rs/core/src/tools/handlers/collab.rs (291); codex-rs/tui/src/app.rs (189); codex-rs/app-server/src/bespoke_event_handling.rs (92); codex-rs/app-server/tests/suite/v2/turn_start.rs (83); codex-rs/core/templates/agents/orchestrator.md (79)
rust-v0.88.0,rust-v0.87.0,2026-01-21T10:43:18-08:00,2026-01-16T16:04:06+01:00,stable-rollup,5fa8f5b3c510422a9862d7a92e512de65bfa0c54,f2c2a07a097217b88187ad2e14c8ae05294d78a2,94,286,20335,2765,23100,21217.38,313,49.28,Feature,codex-rs/tui2/src/bottom_pane/chat_composer.rs (1546); codex-rs/tui/src/bottom_pane/chat_composer.rs (1533); codex-rs/tui/src/bottom_pane/request_user_input/mod.rs (770); codex-rs/tui2/src/chatwidget.rs (690); codex-rs/tui/src/chatwidget.rs (680)
rust-v0.89.0,rust-v0.88.0,2026-01-22T12:57:38-08:00,2026-01-21T10:43:18-08:00,stable-rollup,76b7adbe0bdfc36f79c9bdc1a86dd0d6d1bd1b2a,5fa8f5b3c510422a9862d7a92e512de65bfa0c54,32,936,5425,84623,90048,55280.1,10778,1910.2,Feature,codex-rs/tui2/tests/fixtures/oss-story.jsonl (8041); codex-rs/tui2/src/bottom_pane/chat_composer.rs (5983); codex-rs/tui2/src/chatwidget.rs (4785); codex-rs/tui2/src/chatwidget/tests.rs (4002); codex-rs/tui2/src/app.rs (3114)
rust-v0.90.0,rust-v0.89.0,2026-01-25T16:56:25+01:00,2026-01-22T12:57:38-08:00,stable-rollup,d6525bc43743fd19069a2a966fa75e5406da94b6,76b7adbe0bdfc36f79c9bdc1a86dd0d6d1bd1b2a,47,145,11522,1257,12779,11739.32,936,184.02,Feature,codex-rs/network-proxy/src/runtime.rs (984); codex-rs/Cargo.lock (883); codex-rs/tui/src/app.rs (849); codex-rs/network-proxy/src/http_proxy.rs (636); codex-rs/tui/src/chatwidget.rs (560)
rust-v0.91.0,rust-v0.90.0,2026-01-25T17:52:48+01:00,2026-01-25T16:56:25+01:00,stable-rollup,64a706fd8f94fec43d5abca3d11780bd52bb15f6,d6525bc43743fd19069a2a966fa75e5406da94b6,2,2,2,2,4,4.0,0,0.0,Docs / Tests,codex-rs/core/src/config/mod.rs (2); codex-rs/Cargo.toml (2)
rust-v0.92.0,rust-v0.91.0,2026-01-27T10:32:31Z,2026-01-25T17:52:48+01:00,stable-rollup,b1dcbe7ed9d43e03c6911f6ef42b5c5c32cc78e8,64a706fd8f94fec43d5abca3d11780bd52bb15f6,54,138,5860,1764,7624,6900.0,167,26.8,Feature,codex-rs/tui/src/bottom_pane/request_user_input/mod.rs (467); codex-rs/tui/src/bottom_pane/request_user_input/layout.rs (373); codex-rs/app-server/src/codex_message_processor.rs (330); codex-rs/exec/src/event_processor_with_jsonl_output.rs (319); codex-rs/core/templates/collaboration_mode/plan.md (309)
rust-v0.93.0,rust-v0.92.0,2026-01-30T23:17:25-07:00,2026-01-27T10:32:31Z,stable-rollup,9b42e40ec81957232cb65cae8e9bbb47f6751dfe,b1dcbe7ed9d43e03c6911f6ef42b5c5c32cc78e8,134,395,27718,4286,32004,28836.54,1266,221.94,Feature,codex-rs/tui/src/bottom_pane/request_user_input/mod.rs (2029); codex-rs/core/src/codex.rs (1283); codex-rs/file-search/src/lib.rs (977); codex-rs/tui/src/bottom_pane/chat_composer.rs (822); codex-rs/tui/src/chatwidget.rs (735)
rust-v0.94.0,rust-v0.93.0,2026-02-02T09:44:09-08:00,2026-01-30T23:17:25-07:00,stable-rollup,a334db553297f3c4cb85fa4e73b946b478e46703,9b42e40ec81957232cb65cae8e9bbb47f6751dfe,29,659,94776,532,95308,11924.2,91278,8207.4,Docs / Tests,codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json (16269); codex-rs/app-server-protocol/schema/json/ServerNotification.json (8285); codex-rs/app-server-protocol/schema/json/EventMsg.json (7610); codex-rs/app-server-protocol/schema/json/v1/SessionConfiguredNotification.json (5380); codex-rs/app-server-protocol/schema/json/v1/ResumeConversationResponse.json (5358)
rust-v0.95.0,rust-v0.94.0,2026-02-03T20:07:31-08:00,2026-02-02T09:44:09-08:00,stable-rollup,d1d2249b12e7b19164e9655d85cd5be2acd76338,a334db553297f3c4cb85fa4e73b946b478e46703,66,426,27409,21697,49106,33149.24,11137,1979.84,Feature,codex-rs/vendor/bubblewrap/bubblewrap.c (3641); codex-rs/mcp-types/schema/2025-06-18/schema.json (2516); codex-rs/Cargo.lock (2433); codex-rs/mcp-types/schema/2025-03-26/schema.json (2138); codex-rs/mcp-types/src/lib.rs (1714)
rust-v0.96.0,rust-v0.95.0,2026-02-04T17:00:11Z,2026-02-03T20:07:31-08:00,stable-rollup,1cf7ea77dfd44a4108bc3f32a8de80690cd42b60,d1d2249b12e7b19164e9655d85cd5be2acd76338,17,63,2047,638,2685,2235.32,113,22.42,Docs / Tests,codex-rs/core/src/rollout/tests.rs (208); codex-rs/state/src/runtime.rs (175); codex-rs/core/tests/suite/client_websockets.rs (163); codex-rs/core/src/rollout/recorder.rs (144); codex-rs/core/tests/suite/model_tools.rs (136)
rust-v0.97.0,rust-v0.96.0,2026-02-04T20:26:52-08:00,2026-02-04T17:00:11Z,stable-rollup,019b6949d4d40901c3683e61fd0653dc8c886721,1cf7ea77dfd44a4108bc3f32a8de80690cd42b60,24,153,6420,1899,8319,7028.24,1121,217.24,Docs / Tests,codex-rs/core/src/client.rs (580); MODULE.bazel.lock (532); codex-rs/core/src/file_watcher.rs (407); codex-rs/state/src/runtime.rs (398); codex-rs/core/src/codex.rs (350)
rust-v0.98.0,rust-v0.97.0,2026-02-05T08:12:44-08:00,2026-02-04T20:26:52-08:00,stable-rollup,b8562c11613a2e89ccc1c2e19e90815850bc8fca,019b6949d4d40901c3683e61fd0653dc8c886721,9,30,1205,147,1352,1100.16,4,0.56,Docs / Tests,codex-rs/core/tests/suite/compact_remote.rs (219); codex-rs/core/tests/suite/model_switching.rs (192); codex-rs/core/tests/suite/resume.rs (163); codex-rs/core/src/codex.rs (146); codex-rs/app-server/tests/suite/send_message.rs (142)
rust-v0.99.0,rust-v0.98.0,2026-02-11T11:54:42-08:00,2026-02-05T08:12:44-08:00,stable-rollup,cad0bf09f749831b2f1109cf86a122c0a0025075,b8562c11613a2e89ccc1c2e19e90815850bc8fca,193,498,36818,7423,44241,38978.16,3938,779.56,Feature,codex-rs/state/src/runtime.rs (1214); codex-rs/core/src/codex.rs (1194); codex-rs/tui/src/chatwidget.rs (1059); codex-rs/app-server/src/codex_message_processor.rs (959); codex-rs/tui/src/resume_picker.rs (954)
rust-v0.100.0,rust-v0.99.0,2026-02-12T09:50:37-08:00,2026-02-11T11:54:42-08:00,stable-rollup,3b6e74b32888f7c00632e200a347c7cfba6e4ddf,cad0bf09f749831b2f1109cf86a122c0a0025075,85,355,16365,5783,22148,18534.26,3861,751.86,Feature,codex-rs/app-server-test-client/Cargo.lock (1287); codex-rs/app-server/src/codex_message_processor.rs (1078); codex-rs/app-server/src/transport.rs (780); codex-rs/core/src/tools/js_repl/mod.rs (754); codex-rs/cloud-requirements/src/lib.rs (655)
rust-v0.101.0,rust-v0.100.0,2026-02-12T11:27:09-08:00,2026-02-12T09:50:37-08:00,stable-rollup,b0aa1ce407b741c9041e7b4dc52b3cc658848935,3b6e74b32888f7c00632e200a347c7cfba6e4ddf,7,22,666,777,1443,1415.9,2,0.4,Docs / Tests,codex-rs/core/src/memories/phase1.rs (466); codex-rs/core/src/memories/startup/mod.rs (306); codex-rs/core/src/memories/stage_one.rs (210); codex-rs/core/src/memories/startup/extract.rs (199); codex-rs/core/tests/suite/remote_models.rs (85)
rust-v0.102.0,rust-v0.101.0,2026-02-17T11:21:41-08:00,2026-02-12T11:27:09-08:00,stable-rollup,af60b6434e55fcb366ec7327732a13a1f3a388df,b0aa1ce407b741c9041e7b4dc52b3cc658848935,111,369,26868,4567,31435,27806.48,1908,361.98,Docs / Tests,codex-rs/core/src/codex.rs (1374); codex-rs/core/src/tools/js_repl/mod.rs (1353); codex-rs/tui/src/chatwidget/tests.rs (1244); codex-rs/app-server-protocol/src/protocol/thread_history.rs (1022); codex-rs/core/tests/suite/search_tool.rs (930)
rust-v0.103.0,rust-v0.102.0,2026-02-17T14:23:15-08:00,2026-02-17T11:21:41-08:00,stable-rollup,76ac961296e6237327b00397de1f2c0d1b05b447,af60b6434e55fcb366ec7327732a13a1f3a388df,10,53,1409,419,1828,1022.9,859,171.8,Build / Release,codex-rs/app-server-protocol/schema/json/v2/AppsListResponse.json (195); codex-rs/app-server-protocol/schema/json/v2/AppListUpdatedNotification.json (195); codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json (195); codex-rs/app-server-protocol/schema/json/ServerNotification.json (195); codex-rs/core/tests/suite/personality.rs (150)
rust-v0.104.0,rust-v0.103.0,2026-02-17T22:34:45-08:00,2026-02-17T14:23:15-08:00,stable-rollup,10553fa470faa9e3e3b672008e20b88775b50ee1,76ac961296e6237327b00397de1f2c0d1b05b447,8,64,1510,242,1752,1200.1,418,77.6,Docs / Tests,codex-rs/core/tests/suite/compact_remote.rs (388); codex-rs/app-server/src/bespoke_event_handling.rs (185); codex-rs/core/tests/suite/compact.rs (125); codex-rs/codex-api/src/sse/responses.rs (112); codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json (91)
rust-v0.105.0,rust-v0.104.0,2026-02-25T16:36:37Z,2026-02-17T22:34:45-08:00,stable-rollup,75628a99618af4298690155e8f70195e7d25298e,10553fa470faa9e3e3b672008e20b88775b50ee1,239,755,67684,45810,113494,65056.7,46407,3283.8,Build / Release,codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json (10798); codex-rs/app-server-protocol/schema/json/ServerNotification.json (8021); codex-rs/app-server-protocol/schema/json/v1/SessionConfiguredNotification.json (5417); codex-rs/app-server-protocol/schema/json/v1/ResumeConversationResponse.json (5395); codex-rs/app-server-protocol/schema/json/v1/ForkConversationResponse.json (5395)
rust-v0.106.0,rust-v0.105.0,2026-02-26T11:39:42-08:00,2026-02-25T16:36:37Z,stable-rollup,7ff67f251886c1be015a0d856c9487ec5b7a380d,75628a99618af4298690155e8f70195e7d25298e,48,261,17048,7485,24533,15476.68,4883,950.68,Build / Release,codex-rs/state/src/runtime.rs (3715); codex-rs/state/src/runtime/memories.rs (2696); codex-rs/Cargo.lock (888); codex-rs/state/src/runtime/logs.rs (715); codex-rs/network-proxy/src/network_policy.rs (631)
rust-v0.107.0,rust-v0.106.0,2026-03-02T10:17:13-07:00,2026-02-26T11:39:42-08:00,stable-rollup,d0711a4c34bf10373725fb9fe15dc5a1d6f7402d,7ff67f251886c1be015a0d856c9487ec5b7a380d,51,234,14381,2454,16835,14659.96,568,108.56,Build / Release,codex-rs/core/src/codex/rollout_reconstruction_tests.rs (1241); codex-rs/tui/src/diff_render.rs (864); codex-rs/core/src/codex.rs (790); codex-rs/app-server/src/codex_message_processor.rs (756); codex-rs/core/src/tools/js_repl/mod.rs (560)
rust-v0.108.0,rust-v0.107.0,2026-03-04T11:55:41-08:00,2026-03-02T10:17:13-07:00,stable-rollup,f80227b56d93f374eb0f2ad8cafcd60de9b73ee9,d0711a4c34bf10373725fb9fe15dc5a1d6f7402d,101,467,66945,9755,76700,47049.42,18834,1041.12,Feature,codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.v2.schemas.json (14288); codex-rs/artifact-presentation/src/tests.rs (3512); codex-rs/artifact-spreadsheet/src/manager.rs (3346); codex-rs/artifact-presentation/src/presentation_artifact/manager.rs (3203); codex-rs/app-server/src/codex_message_processor.rs (2092)
rust-v0.109.0,rust-v0.108.0,2026-03-04T15:13:24-08:00,2026-03-04T11:55:41-08:00,stable-rollup,2181dc320ba5dd5046c1f49e5636513e3072d1c9,f80227b56d93f374eb0f2ad8cafcd60de9b73ee9,1,1,1,1,2,2.0,0,0.0,Build / Release,codex-rs/Cargo.toml (2)
rust-v0.110.0,rust-v0.109.0,2026-03-04T17:39:17-08:00,2026-03-04T15:13:24-08:00,stable-rollup,4d58d9e88b576f5d6fbb140a92855a3104731456,2181dc320ba5dd5046c1f49e5636513e3072d1c9,14,93,4421,26025,30446,21763.44,987,196.14,Build / Release,codex-rs/artifact-presentation/src/tests.rs (3512); codex-rs/artifact-spreadsheet/src/manager.rs (3346); codex-rs/artifact-presentation/src/presentation_artifact/manager.rs (3203); codex-rs/artifact-presentation/src/presentation_artifact/model.rs (1934); codex-rs/artifact-spreadsheet/src/model.rs (1787)
rust-v0.111.0,rust-v0.110.0,2026-03-05T10:03:10-08:00,2026-03-04T17:39:17-08:00,stable-rollup,36ab739252724325262726dff8fbbcb26c2447ad,4d58d9e88b576f5d6fbb140a92855a3104731456,23,147,8943,1824,10767,9313.46,1532,305.86,Build / Release,codex-rs/package-manager/src/lib.rs (806); codex-rs/package-manager/src/tests.rs (700); codex-rs/core/src/tools/js_repl/mod.rs (598); codex-rs/artifacts/src/runtime.rs (522); codex-rs/artifacts/src/tests.rs (521)
rust-v0.112.0,rust-v0.111.0,2026-03-08T12:47:47-07:00,2026-03-05T10:03:10-08:00,stable-rollup,82df81da4bfc489aee8daaee9044982e73eeac35,36ab739252724325262726dff8fbbcb26c2447ad,14,76,3861,1407,5268,4512.36,567,111.06,Docs / Tests,codex-rs/core/src/tools/js_repl/kernel.js (589); codex-rs/core/src/skills/permissions.rs (454); codex-rs/core/tests/suite/js_repl.rs (446); codex-rs/core/tests/suite/plugins.rs (231); codex-rs/core/src/connectors.rs (229)
rust-v0.113.0,rust-v0.112.0,2026-03-09T21:17:47-07:00,2026-03-08T12:47:47-07:00,stable-rollup,6a3f681f7506a7492b2e5367fed36916edd00ebd,82df81da4bfc489aee8daaee9044982e73eeac35,108,433,49572,14113,63685,41647.86,7111,1278.56,Build / Release,codex-rs/core/src/config/config_tests.rs (4549); codex-rs/core/src/config/mod.rs (4505); codex-rs/core/src/codex.rs (4135); codex-rs/core/src/codex_tests.rs (3980); codex-rs/tui/src/bottom_pane/mcp_server_elicitation.rs (2018)
rust-v0.114.0,rust-v0.113.0,2026-03-10T16:35:03-07:00,2026-03-09T21:17:47-07:00,stable-rollup,47a06e06d63b972c6abf70d9670b559aceb5bb4f,6a3f681f7506a7492b2e5367fed36916edd00ebd,35,230,22061,1733,23794,13379.74,10406,684.14,Docs / Tests,sdk/python/src/codex_app_server/generated/v2_all.py (8167); sdk/python/scripts/update_sdk_artifacts.py (741); sdk/python/src/codex_app_server/client.py (521); codex-rs/hooks/src/events/stop.rs (495); codex-rs/hooks/src/registry.rs (465)
rust-v0.115.0,rust-v0.114.0,2026-03-16T11:43:13-07:00,2026-03-10T16:35:03-07:00,stable-rollup,91892c6dc38c2b24ffb271ec027ae1a1ad996660,47a06e06d63b972c6abf70d9670b559aceb5bb4f,168,970,106806,75207,182013,116715.42,40042,2305.72,Docs / Tests,codex-rs/app-server-protocol/schema/json/EventMsg.json (9644); sdk/python/src/codex_app_server/generated/v2_all.py (9189); codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json (8040); codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.v2.schemas.json (5787); codex-rs/core/src/tools/spec.rs (3027)
rust-v0.116.0,rust-v0.115.0,2026-03-19T09:49:10-07:00,2026-03-16T11:43:13-07:00,stable-rollup,826c06427c5704e3cc04519485665b5fd0af592e,91892c6dc38c2b24ffb271ec027ae1a1ad996660,68,1661,162499,6925,169424,94706.28,16906,2912.48,Build / Release,codex-rs/tui_app_server/src/chatwidget/tests.rs (11973); codex-rs/tui_app_server/src/chatwidget.rs (10656); codex-rs/tui_app_server/src/bottom_pane/chat_composer.rs (9835); codex-rs/tui_app_server/src/app.rs (9117); codex-rs/tui_app_server/tests/fixtures/oss-story.jsonl (8041)
rust-v0.117.0,rust-v0.116.0,2026-03-26T14:22:10-07:00,2026-03-19T09:49:10-07:00,stable-rollup,f82d18d9675b698cf5d23f74dfce92ee978c23ec,826c06427c5704e3cc04519485665b5fd0af592e,232,976,76027,25303,101330,86443.3,5132,1000.9,Feature,codex-rs/exec/tests/event_processor_with_json_output.rs (2431); codex-rs/exec/src/event_processor_with_human_output.rs (2005); codex-rs/tui_app_server/src/chatwidget/tests.rs (1600); codex-rs/tui/src/chatwidget/tests.rs (1543); codex-rs/tui_app_server/src/app/app_server_adapter.rs (1457)
rust-v0.118.0,rust-v0.117.0,2026-03-31T09:07:10-07:00,2026-03-26T14:22:10-07:00,stable-rollup,a9d35297c4cfd617a9c876d1432d9d1626e8278f,f82d18d9675b698cf5d23f74dfce92ee978c23ec,97,1859,42335,167257,209592,114800.8,16190,2746.9,Build / Release,codex-rs/tui_app_server/src/chatwidget/tests.rs (13189); codex-rs/tui_app_server/src/chatwidget.rs (10860); codex-rs/tui_app_server/src/bottom_pane/chat_composer.rs (9923); codex-rs/tui_app_server/src/app.rs (9760); codex-rs/tui_app_server/tests/fixtures/oss-story.jsonl (8041)
rust-v0.119.0,rust-v0.118.0,2026-04-10T13:45:24-07:00,2026-03-31T09:07:10-07:00,stable-rollup,53046b4b956009eb6dc0b118756d30a785f373a1,a9d35297c4cfd617a9c876d1432d9d1626e8278f,273,994,73872,34861,108733,76472.68,3930,762.78,Build / Release,codex-rs/tui/src/chatwidget/tests.rs (14377); codex-rs/core/src/tools/spec_tests.rs (2723); codex-rs/tools/src/tool_registry_plan_tests.rs (2074); codex-rs/tui/src/chatwidget/tests/popups_and_settings.rs (1813); codex-rs/tui/src/chatwidget/tests/exec_flow.rs (1813)
rust-v0.120.0,rust-v0.119.0,2026-04-10T18:58:04-07:00,2026-04-10T13:45:24-07:00,stable-rollup,84b1753e16766434a86ec29ab7a23984fd0f61fe,53046b4b956009eb6dc0b118756d30a785f373a1,31,170,9307,1571,10878,9712.34,566,96.64,Feature,codex-rs/tui/src/history_cell/hook_cell.rs (779); codex-rs/core/src/realtime_conversation.rs (666); codex-rs/core/src/guardian/tests.rs (628); codex-rs/tui/src/chatwidget/tests/status_and_layout.rs (563); codex-rs/rollout/src/recorder.rs (517)
